Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1987,13.59,7.86,11.38,4.68,5.45,0.64,1.41,0.38,M,0.52,5.92,13.29,M,Grays Harbor
1988,8.76,4.32,11.52,6.54,5.79,2.19,1.46,0.8,2.96,5.12,14.26,9.92,73.64,Grays Harbor
1989,10.38,6.91,10.19,4.37,3.27,1.71,2.64,1.33,0.68,7.15,13.71,8.31,70.65,Grays Harbor
1990,19.6,16.3,7.55,5.46,3.5,3.79,0.42,1.73,0.01,11.96,24.02,10.69,105.03,Grays Harbor
1991,10.8,14.2,6.56,10.16,3.27,1.64,0.74,7.1,0.04,2.91,14.46,8.58,80.46,Grays Harbor
1992,16.63,6.25,1.36,8.7,0.41,1.27,0.81,1.34,2.87,5.81,11.48,8.53,65.46,Grays Harbor
1993,9.09,0.62,8.83,9.56,5.2,4.08,1.85,0.44,0.02,3.48,4.18,13.99,61.34,Grays Harbor
1994,10.59,12.11,7.9,4.8,3.07,3.8,0.78,1.02,2.33,9.13,15.74,M,M,Grays Harbor
1995,15.27,11.18,9.71,5.89,1.27,2.17,1.1,2.43,3.13,10.84,22.74,13.2,98.93,Grays Harbor
1996,12.85,13.18,2.78,11.64,3.7,1.06,0.99,1.02,3.82,12.39,10.12,23.12,96.67,Grays Harbor
1997,16.49,6.94,21.85,7.65,5.66,4.45,2.48,2.48,6.85,13.5,8.34,10.04,106.73,Grays Harbor
1998,19.98,9.39,8.64,2.42,2.6,1.52,1.42,T,0.69,4.16,22.48,24.19,97.49,Grays Harbor
1999,17.07,26.57,11.32,3,3.43,2.71,1.28,1.47,0.37,6.72,18.89,18.3,111.13,Grays Harbor
2000,12.76,M,6.15,4.23,5.51,4.92,0.13,1.22,2.7,5.89,4.28,6.45,M,Grays Harbor
2001,7.12,4.55,6.68,5.51,4.39,3.84,0.91,4.52,1.13,7.22,17.56,20.11,83.54,Grays Harbor
2002,18.02,7.8,8.36,6.49,2.35,2.55,0.31,0.03,1.72,0.99,9.54,15.59,73.75,Grays Harbor
2003,15.98,4.89,16.85,7.64,1.67,0.72,0.25,0.1,2.39,17.29,15.72,9.44,92.94,Grays Harbor
2004,12.74,7.93,6.18,2.32,4.03,1.56,0.21,4.33,4.34,7.3,7.31,10.15,68.4,Grays Harbor
2005,10.55,1.57,10.56,7.88,5.42,1.85,2.03,0.36,2.84,7.82,10.86,14.83,76.57,Grays Harbor
2006,26.81,5.97,7.64,3.68,3.64,2.62,0.47,0.31,1.42,3.02,30.48,14.46,100.52,Grays Harbor
2007,10.67,11.27,12.43,3.68,2.18,3.05,2.98,0.98,1.52,8.42,7.4,16.86,81.44,Grays Harbor
2008,10.12,6.85,8.76,4,1.81,2.41,0.48,4.02,0.69,4.38,16.96,9.56,70.04,Grays Harbor
2009,14.35,4.21,7.59,4.76,7.41,0.39,0.59,1.45,2.01,12.07,23.87,5.73,M,Grays Harbor
2010,15.03,8.89,6.91,7.08,5.93,3.66,0.44,0.61,5.12,10.6,12,16.43,92.7,Grays Harbor
2011,14.12,7.99,17.28,8.52,4.72,1.48,1.89,0.29,3.03,7.55,12.32,5.14,84.33,Grays Harbor
2012,12.39,9.45,15.51,7.58,4.94,4,1.34,0.1,0.13,15.27,16.45,18.6,105.76,Grays Harbor
2013,9,6.18,8.29,8.81,4.39,2.9,0,1.6,8.85,2.43,6.17,5.72,64.34,Grays Harbor
2014,7.91,10.54,16.04,6.88,6.38,1.09,0.65,1.99,3.84,12.3,10.55,12.74,90.91,Grays Harbor
2015,13.25,8.33,8.46,3.26,0.41,0.26,0.42,2.6,2.71,7.6,15.58,21.02,83.9,Grays Harbor
2016,17.15,10.01,17.63,2.73,1.14,3.14,0.5,0.81,3.62,20.02,17.89,11.32,105.96,Grays Harbor
2017,7.36,9.94,19.66,9.69,4.21,2.62,0.1,0.28,2.27,8.78,20.94,10.17,96.02,Grays Harbor
2018,15.99,7.47,5.39,12.47,0.51,1.43,0.17,0.43,2.44,7.68,9.7,16.12,79.8,Grays Harbor
2019,10.32,5.88,2.03,4.72,1.34,0.92,1.43,1.31,4.29,5.92,3.74,9.46,51.36,Grays Harbor
2020,27.12,10.47,5.45,2.61,3.48,3.57,0.32,0.72,4.69,6.53,14.71,13.32,92.99,Grays Harbor
2021,20.24,12.6,6.7,1.78,1.66,3.18,0.17,0.53,5.66,10.79,18.65,12.71,94.67,Grays Harbor
2022,17.73,5.44,7.94,8.41,6.57,M,M,M,M,M,M,M,M,Grays Harbor
