,year,ppt,tmin,tmean,tmax,tdewmean,vpdmin,vpdmax,vpddiff,tdiff,yield_acre_lbs,percent_utilized,utilized_per_acre,avg_price_pound_dollars,trees_per_acre
34,2004,119.54,38.711666666666666,49.899166666666666,61.08083333333333,36.1175,1.46425,14.356583333333333,12.892333333333333,22.36916666666667,39700.0,100.0,39677.41935483871,0.122,408.2
35,2005,133.82,37.269999999999996,48.76,60.25083333333334,33.01083333333334,1.5464166666666666,14.417916666666667,12.8715,22.980833333333333,37000.0,100.0,37012.98701298701,0.179,416.8
36,2006,186.08,37.695,49.1575,60.6175,33.763333333333335,1.5335833333333333,14.704333333333333,13.17075,22.9225,36000.0,100.0,36038.96103896104,0.253,425.4
37,2007,122.61,37.03,48.34916666666666,59.674166666666665,33.490833333333335,1.4364166666666667,14.037,12.600583333333333,22.644166666666667,34000.0,100.0,33986.92810457516,0.342,434.0
38,2008,110.83,35.61083333333333,47.200833333333335,58.7875,31.59916666666667,1.5425,13.993333333333334,12.450833333333332,23.176666666666666,36900.0,100.0,36928.1045751634,0.228,459.6
39,2009,128.39,36.56666666666667,47.81166666666666,59.06583333333333,31.585833333333333,1.7014166666666666,14.686083333333332,12.984666666666667,22.499166666666667,34000.0,100.0,33986.92810457516,0.272,485.2
40,2010,183.97,38.09666666666667,48.667500000000004,59.233333333333334,34.78416666666667,1.2656666666666667,12.738750000000001,11.473083333333333,21.136666666666667,37000.0,100.0,37000.0,0.278,510.8
41,2011,139.44,36.03666666666666,47.15416666666667,58.27583333333334,31.601666666666667,1.60575,13.229333333333333,11.623583333333332,22.239166666666666,36600.0,100.0,36621.62162162162,0.357,536.4
42,2012,195.88,37.86333333333334,48.94833333333334,60.026666666666664,32.986666666666665,1.7196666666666667,14.348083333333333,12.628416666666668,22.163333333333334,43600.0,100.0,43581.08108108108,0.385,562.0
43,2013,104.46,37.57416666666666,48.71,59.839166666666664,33.303333333333335,1.6172499999999999,14.324000000000002,12.70675,22.265,38600.0,100.0,38562.09150326798,0.362,590.8
44,2014,156.96,39.04666666666667,49.92583333333334,60.81666666666667,33.61083333333333,1.97325,15.171833333333334,13.198583333333334,21.77,48400.0,92.81045751633988,44936.70886075949,0.267,619.6
45,2015,147.36,40.385,51.660833333333336,62.945,34.8675,2.1776666666666666,16.26925,14.091583333333334,22.56,36800.0,99.32546374367622,36583.85093167702,0.394,648.4
46,2016,170.77,39.33083333333333,50.15916666666667,60.983333333333334,35.15416666666667,1.5825,14.4395,12.857,21.6525,44400.0,94.26229508196722,41818.181818181816,0.341,677.2
47,2017,175.55,37.214166666666664,47.9625,58.707499999999996,32.51,1.7889166666666665,14.796583333333333,13.007666666666667,21.493333333333332,45500.0,96.0,43636.36363636364,0.338,706.0
48,2018,135.34,38.70583333333333,49.80416666666667,60.90916666666667,33.755833333333335,1.7341666666666666,15.032416666666666,13.29825,22.203333333333333,39400.0,95.0,37441.17647058824,0.336,729.5636363636513
49,2019,126.79,37.0,47.501666666666665,58.002500000000005,33.60916666666667,1.3959166666666667,13.315249999999999,11.919333333333332,21.0025,44200.0,95.0,41976.74418604651,0.271,756.7636363636484
50,2020,137.08,38.450833333333335,49.89833333333333,61.34083333333333,34.00416666666667,1.87725,15.286333333333333,13.409083333333333,22.89,39500.0,95.00072306579898,37538.857142857145,0.319,783.9636363636455
51,2021,130.38,39.10666666666667,50.3525,61.60333333333333,34.32416666666666,2.2858333333333336,16.425,14.139166666666666,22.496666666666666,39300.0,96.0,37730.232558139534,0.337,811.1636363636426
