year,season,average_temperature,highest_temperature,lowest_temperature,precipitation_(inches),temperature_difference,snowfall_(inches)
1937,Summer,39.731342278529425,106.0,34.0,21.609683788637092,72.0,0.0
1937,Winter,14.994507985984812,68.36608401490253,-24.0,21.317784905229168,92.36608401490253,178.9
1938,Fall,36.638803966548856,104.0,9.0,11.394727906011326,95.0,8.9
1938,Spring,30.897554072909617,94.0,12.0,12.37182454812391,82.0,18.9
1938,Summer,45.76349921352887,109.0,33.0,7.224834116375565,76.0,0.0
1938,Winter,21.983569491200914,71.89820221000959,-6.0,20.285753607617686,77.89820221000959,147.8
1939,Fall,34.65818645060065,99.0,18.0,8.753696653990932,81.0,7.2
1939,Spring,32.15444223973462,96.0,2.0,8.86176767528994,94.0,31.3
1939,Summer,46.075209222926354,113.0,34.0,5.090049845575441,79.0,0.0
1939,Winter,20.43624128440087,64.53858801843138,-15.0,26.39,79.53858801843138,97.8
1940,Fall,31.61487682422556,99.0,5.0,26.41,94.0,36.4
1940,Spring,32.355472021148096,95.0,13.0,16.77,82.0,23.4
1940,Summer,46.27526554626939,104.0,39.0,6.154460190748063,65.0,0.0
1940,Winter,20.838546174030455,58.0,-4.0,41.94,62.0,131.6
1941,Fall,32.66884391725367,83.0,10.0,18.669999999999998,73.0,8.5
1941,Spring,34.14906903190698,92.0,16.0,23.85,76.0,21.4
1941,Summer,44.247554113946144,109.0,37.0,22.5,72.0,0.0
1941,Winter,22.016735905199354,60.0,-7.0,28.516049206758968,67.0,128.2
1942,Fall,34.56317538743185,95.0,5.0,22.009323271815227,90.0,57.0
1942,Spring,32.456171698758226,89.0,15.0,19.2,74.0,24.4
1942,Summer,44.9698368521899,105.0,32.0,12.85923028881296,73.0,0.0
1942,Winter,19.407414508133176,54.19408330200828,-15.0,26.73,69.19408330200828,205.5
1943,Fall,33.42869744247956,95.0,17.699807054040434,14.30323229332311,77.30019294595957,31.2
1943,Spring,29.714837834194466,83.0,-1.0,14.33616804214368,84.0,18.0
1943,Summer,39.67637692211277,102.0,25.811499183206493,11.667069207494857,76.1885008167935,0.0
1943,Winter,18.35246114370527,71.89820221000959,-28.0,12.557876803808842,99.89820221000959,138.6
1944,Fall,38.23941186385314,102.0,14.0,19.141542812327646,88.0,19.799999999999997
1944,Spring,32.063423611157845,92.0,10.0,16.903630411426526,82.0,8.9
1944,Summer,55.16558361272651,105.0,35.0,14.38168007393851,70.0,0.0
1944,Winter,21.914191284308647,71.89820221000959,-8.0,17.883630411426527,79.89820221000959,131.3
1945,Fall,29.45352720967002,95.0,4.0,20.68,91.0,68.4
1945,Spring,30.576303823559876,92.0,2.0,23.337876803808843,90.0,5.4
1945,Summer,47.0678273971928,108.0,29.012846412010447,8.020519918665167,78.98715358798955,0.0
1945,Winter,23.50963106121898,71.89820221000959,-10.0,34.277876803808844,81.89820221000959,129.9
1946,Fall,31.31713992673831,94.0,-3.0,27.87938401904421,97.0,99.8
1946,Spring,33.47905127231485,94.0,20.0,19.121182095566102,74.0,3.9000000000000004
1946,Summer,37.5364161309979,110.0,25.811499183206493,15.29225414723028,84.1885008167935,0.0
1946,Winter,21.814022224445825,78.75842867198747,-13.0,23.17938401904421,91.75842867198747,134.4
1947,Fall,37.74558639118473,98.0,15.0,33.9,83.0,25.1
1947,Spring,36.52854865564154,105.0,8.0,11.2724456932712,97.0,5.3
1947,Summer,45.89427627170648,106.0,25.811499183206493,16.95657372891125,80.1885008167935,0.0
1947,Winter,20.509841814564613,77.77892311962259,-12.0,19.61,89.77892311962259,133.4
1948,Fall,35.91191639883551,97.0,9.0,27.77,88.0,58.5
1948,Spring,32.23922510580634,88.0,2.0,46.18089123427958,86.0,5.0
1948,Summer,49.94772296690412,107.0,25.811499183206493,39.31575360761769,81.1885008167935,0.0
1948,Winter,20.895957482457394,71.89820221000959,-20.0,43.23150721523537,91.89820221000959,289.1
1949,Fall,39.69824906407208,101.0,13.0,26.009999999999998,88.0,2.8
1949,Spring,39.688353228329056,100.0,6.0,13.182584223157413,94.0,12.0
1949,Summer,53.38845358366958,108.0,29.0,4.766041887652371,79.0,0.0
1949,Winter,17.835668833080156,78.30901892469419,-24.0,23.18,102.30901892469419,241.9
1950,Fall,38.23440792168359,106.0,9.0,41.19,97.0,46.7
1950,Spring,36.354032128463764,94.0,3.0,24.09,91.0,18.2
1950,Summer,55.88880670380846,105.0,25.811499183206493,19.114075556795207,79.1885008167935,0.0
1950,Winter,18.145855878529733,68.02678778894608,-32.0,47.82,100.02678778894608,381.9
1951,Fall,38.69642715846063,96.0,12.0,30.91,84.0,24.200000000000003
1951,Spring,36.608856566495255,97.0,-8.0,18.84,105.0,67.4
1951,Summer,52.36195468730965,106.0,28.881864478797397,21.620794519062287,77.1181355212026,0.0
1951,Winter,21.10330390011164,76.22374465059652,-26.0,40.39,102.22374465059652,316.9
1952,Fall,41.24622622643193,99.0,-2.0,9.195740303281772,101.0,13.600000000000001
1952,Spring,38.02357166157421,95.0,7.0,10.11,88.0,17.400000000000002
1952,Summer,53.477755859122915,108.0,28.0,15.356160530815993,80.0,0.0
1952,Winter,23.310713000005368,73.20228736391847,-23.0,36.41,96.20228736391847,329.4
1953,Fall,41.80105585459946,102.0,12.0,17.90687307554775,90.0,13.399999999999999
1953,Spring,38.0793967871074,91.0,15.0,23.61,76.0,19.3
1953,Summer,53.121773259072086,106.0,35.0,18.6270710481864,71.0,0.0
1953,Winter,32.265493320214325,78.7692991842007,1.0,45.52411319112145,77.7692991842007,185.9
1954,Fall,39.6515742342487,94.0,14.480437298840442,22.86,79.51956270115956,6.0
1954,Spring,36.17497090415014,98.0,3.0,13.24,95.0,17.900000000000002
1954,Summer,50.03898909201842,103.0,29.0,14.56,74.0,0.0
1954,Winter,25.55340652538953,76.1157608934132,-25.0,31.494622652421747,101.1157608934132,233.9
1955,Fall,35.80363830977754,102.0,-10.0,35.019999999999996,112.0,135.8
1955,Spring,34.183122406703234,89.0,-10.0,20.28,99.0,44.8
1955,Summer,52.076675870837214,109.0,14.8754204266612,11.585105791944367,94.12457957333879,0.0
1955,Winter,23.71980929400669,77.58429428287025,-22.0,38.65454541914708,99.58429428287025,271.6
1956,Fall,37.73983489433363,96.0,-4.0,18.330000000000002,100.0,60.400000000000006
1956,Spring,38.67404700809654,99.0,-5.0,13.331588972314877,104.0,16.1
1956,Summer,52.39920324465338,108.0,28.525263368637212,19.259096556567457,79.47473663136279,0.0
1956,Winter,20.039139390305905,73.9516527865301,-25.0,40.27,98.9516527865301,254.7
1957,Fall,40.706796788290006,98.0,12.0,25.81,86.0,11.3
1957,Spring,41.22952971980824,99.0,10.0,37.84701446045513,89.0,35.1
1957,Summer,53.98952284064264,102.0,14.085454171019677,12.74,87.91454582898032,0.0
1957,Winter,22.559184621499682,72.89226587001143,-29.0,32.02755404467486,101.89226587001143,256.8
1958,Fall,39.53892852596487,100.0,-17.0,27.560000000000002,117.0,44.3
1958,Spring,41.53499729344084,102.0,14.0,28.36,88.0,13.100000000000001
1958,Summer,59.56692962227358,110.0,15.31977644545956,15.930685152730721,94.68022355454045,0.0
1958,Winter,30.46909294090064,71.94931914201578,-5.0,58.730000000000004,76.94931914201578,165.7
1959,Fall,38.054276153601045,92.0,-10.0,34.09,102.0,15.6
1959,Spring,39.54010542815203,91.0,14.0,16.896044934613418,77.0,4.7
1959,Summer,53.285753573857136,107.0,33.0,8.615564283205325,74.0,0.0
1959,Winter,25.57224422291496,76.08475874402251,-28.0,42.42,104.08475874402251,220.7
1960,Fall,40.60663961125032,93.0,-5.0,27.11,98.0,32.7
1960,Spring,38.078001678871665,88.0,-4.0,32.77,92.0,47.9
1960,Summer,56.15484983652947,110.0,12.7523861146246,9.402183806630141,97.2476138853754,0.0
1960,Winter,24.13069421234915,75.47027243118693,-12.0,32.66763339064707,87.47027243118693,174.8
1961,Fall,37.516579399706515,91.0,-14.0,16.543625027854105,105.0,53.3
1961,Spring,39.496081099538095,95.0,9.0,35.35,86.0,47.5
1961,Summer,58.730456816825225,114.0,16.65284450185466,11.167876803808841,97.34715549814534,0.0
1961,Winter,28.289860442191152,74.29348112345235,-9.0,46.53,83.29348112345235,189.5
1962,Fall,41.68964776593638,95.0,15.0,34.38,80.0,16.9
1962,Spring,38.68778122928231,86.0,9.0,34.89,77.0,46.0
1962,Summer,55.87567123669509,104.0,16.702217392832253,10.950133255039539,87.29778260716775,0.0
1962,Winter,26.50503158421007,77.37058134030875,-27.0,23.98787680380884,104.37058134030875,95.0
1963,Fall,42.968650303213266,101.0,10.0,21.9,91.0,10.700000000000001
1963,Spring,43.52385741443899,94.0,15.961624028168309,29.243630411426526,78.0383759718317,21.5
1963,Summer,55.49724475492666,104.0,16.307234265011488,8.755645725273322,87.69276573498851,0.0
1963,Winter,25.065609041570738,77.01007124438962,-14.0,31.4,91.01007124438962,163.8
1964,Fall,39.98487545071609,89.0,7.963215689797821,22.749748011138824,81.03678431020218,33.8
1964,Spring,38.28623082504285,92.0,7.0,7.0262087889377725,85.0,21.1
1964,Summer,51.957457269857194,106.0,12.999250569512569,18.20787680380884,93.00074943048743,0.0
1964,Winter,25.2691673544684,81.1278784364176,-27.0,53.4450663131955,108.1278784364176,343.3
1965,Fall,41.155174882611064,90.0,7.0,19.919999999999998,83.0,39.4
1965,Spring,39.06367432569513,92.0,5.0,13.540000000000001,87.0,12.2
1965,Summer,54.47690701569927,106.0,17.936539667272136,17.35,88.06346033272786,0.0
1965,Winter,27.134655775131645,80.91287330709412,-10.0,28.4,90.91287330709412,226.2
1966,Fall,42.847200416788404,101.0,3.9146386296349753,34.38,97.08536137036502,18.5
1966,Spring,40.23051636525229,96.0,2.0,14.202900230100019,94.0,41.6
1966,Summer,52.29572810287689,107.0,14.529810189818036,18.994265817405545,92.47018981018196,0.0
