Year,Month,Highest Temperature
1947,Jun,82.8157894736842
1947,Mar,68.85882352941177
1947,May,87.985
1947,Nov,56.260000000000005
1947,Oct,72.49473684210527
1947,Sep,84.3578947368421
1948,Apr,66.1375
1948,Aug,83.85238095238095
1948,Dec,45.47142857142857
1948,Feb,51.92941176470588
1948,Jan,46.38823529411765
1948,Jul,87.20526315789475
1948,Jun,89.90555555555555
1948,Mar,62.586666666666666
1948,May,80.38666666666667
1948,Nov,53.142857142857146
1948,Oct,70.425
1948,Sep,88.48333333333333
1949,Apr,74.11904761904762
1949,Aug,91.29047619047618
1949,Dec,52.68421052631579
1949,Feb,53.88947368421052
1949,Jan,40.4
1949,Jul,91.57142857142857
1949,Jun,87.75714285714287
1949,Mar,59.438095238095244
1949,May,84.85714285714286
1949,Nov,63.73
1949,Oct,66.78999999999999
1949,Sep,88.7
1950,Apr,69.2
1950,Aug,90.95
1950,Dec,53.37142857142857
1950,Feb,52.714285714285715
1950,Jan,43.495
1950,Jul,90.9
1950,Jun,86.67619047619048
1950,Mar,54.9
1950,May,77.935
1950,Nov,56.19047619047619
1950,Oct,67.69
1950,Sep,90.17999999999999
1951,Apr,74.60909090909091
1951,Aug,91.62272727272727
1951,Dec,50.00454545454545
1951,Feb,53.77272727272727
1951,Jan,49.02272727272727
1951,Jul,94.60454545454546
1951,Jun,88.51818181818182
1951,Mar,59.0047619047619
1951,May,81.7090909090909
1951,Nov,55.18181818181818
1951,Oct,74.2909090909091
1951,Sep,85.85238095238095
1952,Apr,76.0952380952381
1952,Aug,94.1086956521739
1952,Dec,49.643478260869564
1952,Feb,52.52272727272727
1952,Jan,45.93181818181818
1952,Jul,95.18260869565216
1952,Jun,81.93478260869566
1952,Mar,62.404761904761905
1952,May,82.09130434782608
1952,Nov,59.17727272727273
1952,Oct,79.86521739130436
1952,Sep,89.0391304347826
1953,Apr,68.62608695652175
1953,Aug,91.92173913043477
1953,Dec,50.36521739130435
1953,Feb,54.83636363636364
1953,Jan,54.26086956521739
1953,Jul,91.57826086956523
1953,Jun,77.50869565217391
