,year,month,excessive_heat,frost_freeze,heavy_snow,heavy_rain,dense_smoke
262,2021,11,0.0,0.0,0.0,0.0,0.0
263,2021,12,0.0,0.0,5.0,0.0,0.0
264,2022,01,0.0,0.0,4.0,0.0,0.0
265,2022,02,0.0,0.0,1.0,0.0,0.0
266,2022,03,0.0,0.0,0.0,0.0,0.0
267,2022,04,0.0,0.0,4.0,0.0,0.0
268,2022,05,0.0,0.0,0.0,0.0,0.0
269,2022,06,0.0,0.0,0.0,0.0,0.0
270,2022,07,1.0,0.0,0.0,1.0,0.0
271,2022,08,4.0,0.0,0.0,0.0,0.0
272,2022,09,0.0,0.0,0.0,0.0,0.0
273,2022,10,0.0,0.0,0.0,0.0,0.0
274,2022,11,0.0,0.0,0.0,0.0,0.0
275,2022,12,0.0,0.0,0.0,0.0,0.0
