,Year,County,Month,Average_Temperature,Highest_Temperature,Lowest_Temperature,Precipitation_(inches),Temperature_difference,Snowfall_(inches)
188,1910,Douglas,Jan,1.17,54.0,-12.0,1.17,66.0,5.8
189,1911,Douglas,Jan,-11.130522715523888,43.0,-18.0,1.4733832786381669,61.0,7.0
190,1912,Douglas,Jan,-5.916072492247281,41.0,-15.0,1.5126227511575374,56.0,7.0
191,1913,Douglas,Jan,1.95,51.0,-11.0,1.95,62.0,19.5
192,1914,Douglas,Jan,37.14534907369412,71.89820221000959,25.811499183206493,0.9078768038088418,46.08670302680309,19.5
193,1915,Douglas,Jan,1.48,37.0,-9.0,1.48,46.0,19.7
194,1916,Douglas,Jan,-18.68148038216976,41.0,-24.0,1.5124837312631323,65.0,19.7
195,1917,Douglas,Jan,0.33,46.0,-16.0,0.33,62.0,4.5
196,1918,Douglas,Jan,0.64,48.0,5.0,0.64,43.0,5.0
197,1919,Douglas,Jan,2.01,45.0,-2.0,2.01,47.0,13.5
198,1920,Douglas,Jan,0.27,53.0,8.198495409007908,0.27,44.801504590992096,4.0
199,1921,Douglas,Jan,2.38,50.0,0.0,2.38,50.0,26.1
200,1922,Douglas,Jan,0.39,39.0,0.1514390430203889,0.39,38.84856095697961,26.1
201,1923,Douglas,Jan,1.41,43.0,-6.0,1.41,49.0,7.8
202,1924,Douglas,Jan,1.32,44.0,-19.0,1.32,63.0,13.8
203,1925,Douglas,Jan,1.0,47.0,2.0,1.0,45.0,16.0
204,1926,Douglas,Jan,0.94,40.0,12.0,0.94,28.0,16.0
205,1927,Douglas,Jan,1.54,41.0,-19.0,1.54,60.0,16.0
206,1928,Douglas,Jan,1.4,48.0,0.0,1.4,48.0,16.0
207,1929,Douglas,Jan,21.563619580218468,37.0,3.0178940058677917,1.59127262075987,33.98210599413221,16.0
208,1930,Douglas,Jan,37.14534907369412,71.89820221000959,25.811499183206493,0.9078768038088418,46.08670302680309,16.0
209,1931,Douglas,Jan,2.06,52.92665361136145,8.950673509349727,2.06,43.975980102011725,16.0
210,1932,Douglas,Jan,1.05,48.0,-4.0,1.05,52.0,16.0
211,1933,Douglas,Jan,1.27,46.0,-1.0,1.27,47.0,16.0
212,1934,Douglas,Jan,1.08,50.0,11.0,1.08,39.0,16.0
213,1935,Douglas,Jan,1.14,48.0,-20.0,1.14,68.0,16.0
214,1936,Douglas,Jan,1.59,42.0,-5.0,1.59,47.0,16.0
215,1937,Douglas,Jan,1.37,32.0,-3.5085858813701485,1.37,35.50858588137015,16.0
216,1938,Douglas,Jan,0.79,44.0,9.0,0.79,35.0,16.0
217,1939,Douglas,Jan,0.64,44.0,16.0,0.64,28.0,3.0
218,1940,Douglas,Jan,1.58,48.0,4.0,1.58,44.0,3.0
219,1941,Douglas,Jan,1.66,42.0,7.0,1.66,35.0,3.0
220,1942,Douglas,Jan,1.73,49.0,-6.0,1.73,55.0,3.0
221,1943,Douglas,Jan,0.94,50.0,-20.0,0.94,70.0,3.0
222,1944,Douglas,Jan,0.71,50.0,6.0,0.71,44.0,3.0
223,1945,Douglas,Jan,1.27,50.0,5.0,1.27,45.0,3.0
224,1946,Douglas,Jan,1.21,42.0,3.0,1.21,39.0,3.0
225,1947,Douglas,Jan,0.52,45.0,-7.0,0.52,52.0,3.0
226,1948,Douglas,Jan,1.26,47.0,7.0,1.26,40.0,9.5
227,1949,Douglas,Jan,0.45,42.0,-11.0,0.45,53.0,4.5
228,1950,Douglas,Jan,2.27,43.0,-24.0,2.27,67.0,4.5
229,1951,Douglas,Jan,1.37,47.0,-9.0,1.37,56.0,4.5
230,1952,Douglas,Jan,2.04,39.0,-7.0,2.04,46.0,4.5
231,1953,Douglas,Jan,25.706136828772024,49.0,10.0,1.356236387312609,39.0,4.5
232,1954,Douglas,Jan,1.78,45.0,-10.0,1.78,55.0,4.5
233,1955,Douglas,Jan,1.3,42.0,6.0,1.3,36.0,4.5
234,1956,Douglas,Jan,1.82,40.0,-13.0,1.82,53.0,4.5
235,1957,Douglas,Jan,-6.375136886714003,39.0,-16.0,1.5518004370571725,55.0,4.5
236,1958,Douglas,Jan,0.69,45.0,14.0,0.69,31.0,0.0
237,1959,Douglas,Jan,1.52,45.0,-15.0,1.52,60.0,0.0
238,1960,Douglas,Jan,1.46,45.0,0.0,1.46,45.0,0.0
239,1961,Douglas,Jan,0.23,48.0,-1.0,0.23,49.0,0.0
240,1962,Douglas,Jan,0.26,50.0,-8.0,0.26,58.0,0.0
241,1963,Douglas,Jan,0.3,48.0,-1.0,0.3,49.0,0.0
242,1964,Douglas,Jan,1.65,40.0,5.0,1.65,35.0,22.6
243,1965,Douglas,Jan,1.39,50.0,-8.0,1.39,58.0,12.3
244,1966,Douglas,Jan,1.68,44.0,0.0,1.68,44.0,21.4
245,1967,Douglas,Jan,1.2,50.0,15.0,1.2,35.0,5.0
246,1968,Douglas,Jan,3.01,52.0,-8.0,3.01,60.0,24.0
247,1969,Douglas,Jan,2.32,42.0,-22.0,2.32,64.0,27.0
248,1970,Douglas,Jan,3.59,44.0,-4.0,3.59,48.0,27.0
249,1971,Douglas,Jan,1.87,55.0,-7.0,1.87,62.0,25.8
250,1972,Douglas,Jan,1.26,60.36522676317989,12.90050478755738,1.26,47.46472197562251,17.0
251,1973,Douglas,Jan,1.01,47.0,-6.0,1.01,53.0,9.0
252,1974,Douglas,Jan,2.42,48.0,-11.0,2.42,59.0,12.3
253,1975,Douglas,Jan,1.79,45.0,-7.0,1.79,52.0,22.5
254,1976,Douglas,Jan,0.81,47.0,4.0,0.81,43.0,22.5
255,1977,Douglas,Jan,0.1,50.0,0.0,0.1,50.0,1.6
256,1978,Douglas,Jan,2.29,42.0,-9.0,2.29,51.0,12.5
257,1979,Douglas,Jan,0.64,39.0,-20.0,0.64,59.0,7.3
258,1980,Douglas,Jan,37.14534907369412,71.89820221000959,25.811499183206493,0.9078768038088418,46.08670302680309,7.3
259,1981,Douglas,Jan,1.76,45.0,18.0,1.76,27.0,11.5
260,1982,Douglas,Jan,1.09,46.0,-18.0,1.09,64.0,11.5
261,1983,Douglas,Jan,2.49,50.0,4.0,2.49,46.0,13.6
262,1984,Douglas,Jan,0.68,50.0,-8.0,0.68,58.0,5.3
263,1985,Douglas,Jan,0.32,38.0,-4.0,0.32,42.0,2.5
264,1986,Douglas,Jan,3.13,42.0,9.0,3.13,33.0,27.8
265,1987,Douglas,Jan,1.23,42.0,-1.0,1.23,43.0,10.9
266,1988,Douglas,Jan,0.59,42.0,-2.0,0.59,44.0,10.9
267,1989,Douglas,Jan,0.22,70.03537186054385,18.035285449227324,0.22,52.00008641131652,10.9
268,1990,Douglas,Jan,1.89,60.47455791154762,15.0,1.89,45.47455791154762,8.2
269,1991,Douglas,Jan,37.14534907369412,71.89820221000959,25.811499183206493,0.9078768038088418,46.08670302680309,8.2
270,1992,Douglas,Jan,0.92,63.52662035270272,14.57918308079563,0.92,48.94743727190709,8.2
271,1993,Douglas,Jan,1.17,44.0,-11.0,1.17,55.0,14.8
272,1994,Douglas,Jan,0.69,55.0,17.0,0.69,38.0,2.5
273,1995,Douglas,Jan,4.07,41.0,1.0,4.07,40.0,2.5
274,1996,Douglas,Jan,1.55,45.0,-16.0,1.55,61.0,16.7
275,1997,Douglas,Jan,0.95,63.24767385950953,14.431064407862848,0.95,48.816609451646684,6.9
276,1998,Douglas,Jan,2.26,39.65573971630271,-2.0,2.26,41.65573971630271,17.8
277,1999,Douglas,Jan,1.89,51.311836988993186,7.0,1.89,44.311836988993186,19.5
278,2000,Douglas,Jan,2.02,43.966161944303906,1.0,2.02,42.966161944303906,19.5
279,2001,Douglas,Jan,0.41,53.2679615823022,4.0,0.41,49.2679615823022,4.0
280,2002,Douglas,Jan,0.42,49.79550782459248,1.0,0.42,48.79550782459248,1.0
281,2003,Douglas,Jan,2.72,44.0,12.0,2.72,32.0,12.3
282,2004,Douglas,Jan,2.09,44.0,-15.0,2.09,59.0,13.6
283,2005,Douglas,Jan,1.49,48.0,2.0,1.49,46.0,13.6
284,2006,Douglas,Jan,2.64,46.0,9.0,2.64,37.0,0.0
285,2007,Douglas,Jan,2.0939495688652983,45.0,-8.0,1.4343446126329369,53.0,0.0
286,2008,Douglas,Jan,37.14534907369412,71.89820221000959,25.811499183206493,0.9078768038088418,46.08670302680309,0.0
287,2009,Douglas,Jan,0.64,48.0,-2.0,0.64,50.0,0.0
288,2010,Douglas,Jan,2.28,42.0,5.0,2.28,37.0,0.0
289,2011,Douglas,Jan,0.46,47.0,-5.0,0.46,52.0,0.0
290,2012,Douglas,Jan,1.63,44.0,2.0,1.63,42.0,14.5
291,2013,Douglas,Jan,0.42,43.0,0.0,0.42,43.0,4.0
292,2014,Douglas,Jan,0.56,50.0,14.0,0.56,36.0,5.8
293,2015,Douglas,Jan,0.87,53.0,3.0,0.87,50.0,8.0
294,2016,Douglas,Jan,3.53,41.0,2.0,3.53,39.0,26.0
295,2017,Douglas,Jan,1.82,37.0,-5.0,1.82,42.0,13.7
296,2018,Douglas,Jan,37.14534907369412,71.89820221000959,25.811499183206493,0.9078768038088418,46.08670302680309,13.7
297,2019,Douglas,Jan,37.14534907369412,71.89820221000959,25.811499183206493,0.9078768038088418,46.08670302680309,13.7
298,2020,Douglas,Jan,37.14534907369412,71.89820221000959,25.811499183206493,0.9078768038088418,46.08670302680309,13.7
299,2021,Douglas,Jan,37.14534907369412,71.89820221000959,25.811499183206493,0.9078768038088418,46.08670302680309,13.7
300,1905,Franklin,Jan,37.14534907369412,71.89820221000959,25.811499183206493,0.9078768038088418,46.08670302680309,13.7
301,1906,Franklin,Jan,0.97,50.0,9.0,0.97,41.0,5.0
302,1907,Franklin,Jan,1.26,49.0,-13.0,1.26,62.0,5.0
303,1908,Franklin,Jan,0.93,52.0,8.0,0.93,44.0,1.5
304,1909,Franklin,Jan,1.26,53.0,-26.0,1.26,79.0,1.5
305,1910,Franklin,Jan,0.85,52.0,-1.0,0.85,53.0,4.0
306,1911,Franklin,Jan,0.61,53.0,-2.0,0.61,55.0,3.7
307,1912,Franklin,Jan,1.49,54.0,-12.0,1.49,66.0,3.7
308,1913,Franklin,Jan,1.36,53.0,8.629167748005202,1.36,44.3708322519948,18.5
309,1914,Franklin,Jan,2.06,53.0,21.0,2.06,32.0,2.4
310,1915,Franklin,Jan,1.03,45.0,3.0,1.03,42.0,2.8
311,1916,Franklin,Jan,1.0,50.0,-17.0,1.0,67.0,15.5
312,1917,Franklin,Jan,0.62,51.0,0.0,0.62,51.0,4.0
313,1918,Franklin,Jan,1.12,63.0,6.0,1.12,57.0,1.5
314,1919,Franklin,Jan,1.49,59.0,-7.0,1.49,66.0,0.6
315,1920,Franklin,Jan,1.18,52.0,-1.0,1.18,53.0,0.6
316,1921,Franklin,Jan,1.06,52.0,15.0,1.06,37.0,1.0
317,1922,Franklin,Jan,0.73,39.0,-14.0,0.73,53.0,7.5
318,1923,Franklin,Jan,1.38,54.0,7.0,1.38,47.0,7.5
319,1924,Franklin,Jan,1.2,58.0,-9.0,1.2,67.0,2.0
320,1925,Franklin,Jan,1.26,52.0,0.0,1.26,52.0,3.5
321,1926,Franklin,Jan,0.97,49.0,22.0,0.97,27.0,1.3
322,1927,Franklin,Jan,1.51,49.0,-7.0,1.51,56.0,1.3
323,1928,Franklin,Jan,17.237050373192726,43.0,2.0,1.4736922117368447,41.0,1.3
324,1929,Franklin,Jan,0.58,39.0,-20.0,0.58,59.0,7.8
325,1930,Franklin,Jan,0.64,52.0,-23.0,0.64,75.0,7.5
326,1931,Franklin,Jan,1.39,59.0,14.0,1.39,45.0,7.5
327,1932,Franklin,Jan,1.02,48.0,8.0,1.02,40.0,7.5
328,1933,Franklin,Jan,1.12,54.0,8.0,1.12,46.0,9.3
329,1934,Franklin,Jan,0.81,57.0,21.0,0.81,36.0,9.3
330,1935,Franklin,Jan,0.48,59.0,-15.0,0.48,74.0,3.5
331,1936,Franklin,Jan,5.348585801167985,53.0,-3.0,1.2776493156893303,56.0,3.0
332,1937,Franklin,Jan,0.45,38.0,-21.0,0.45,59.0,3.0
333,1938,Franklin,Jan,0.7,51.0,15.0,0.7,36.0,3.0
334,1939,Franklin,Jan,0.87,52.0,20.0,0.87,32.0,3.0
335,1940,Franklin,Jan,1.17,48.0,12.0,1.17,36.0,3.0
336,1941,Franklin,Jan,1.89,49.0,12.0,1.89,37.0,6.0
