,location,county_zone,state,date,time,timezone,type,deaths,injuries,property_damage_dollars,crop_damage_dollars
1000,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2014-12-27,7:00:00 AM,PST-8,Heavy Snow,0,0,0,0
1001,WENATCHEE AREA (ZONE),WENATCHEE AREA (ZONE),WA,2014-12-27,7:00:00 AM,PST-8,Heavy Snow,0,0,0,0
1002,WENATCHEE AREA (ZONE),WENATCHEE AREA (ZONE),WA,2014-12-27,7:00:00 AM,PST-8,Heavy Snow,0,0,0,0
1003,WENATCHEE AREA (ZONE),WENATCHEE AREA (ZONE),WA,2014-12-27,7:00:00 AM,PST-8,Heavy Snow,0,0,0,0
1004,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2014-12-27,7:00:00 AM,PST-8,Winter Weather,0,0,0,0
1005,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2014-12-27,7:00:00 AM,PST-8,Heavy Snow,0,0,0,0
1006,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2014-12-27,8:00:00 AM,PST-8,Winter Weather,0,0,0,0
1007,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2015-01-03,10:00:00 PM,PST-8,Heavy Snow,0,0,0,0
1008,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2015-01-03,10:00:00 PM,PST-8,Heavy Snow,0,0,0,0
1009,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2015-01-03,10:00:00 PM,PST-8,Heavy Snow,0,0,0,0
1010,OKANOGAN HIGHLANDS (ZONE),OKANOGAN HIGHLANDS (ZONE),WA,2015-01-03,10:00:00 PM,PST-8,Heavy Snow,0,0,0,0
1011,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2015-01-03,10:00:00 PM,PST-8,Winter Weather,0,0,0,0
1012,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2015-01-04,1:00:00 AM,PST-8,Winter Weather,0,0,0,0
1013,WENATCHEE AREA (ZONE),WENATCHEE AREA (ZONE),WA,2015-01-04,1:00:00 AM,PST-8,Winter Weather,0,0,0,0
1014,EAST SLOPES OF THE WASHI...,EAST SLOPES OF THE WASHI...,WA,2015-01-04,1:00:00 AM,PST-8,Heavy Snow,0,0,0,0
1015,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2015-01-04,10:00:00 PM,PST-8,Winter Storm,0,0,0,0
1016,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2015-01-04,10:00:00 PM,PST-8,Winter Weather,0,0,0,0
1017,LEAVENWORTH,CHELAN CO.,WA,2015-01-05,12:00:00 PM,PST-8,Flood,0,0,0,0
1018,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2015-01-15,4:00:00 PM,PST-8,Winter Weather,0,0,0,0
1019,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2015-01-15,4:00:00 PM,PST-8,Winter Weather,0,0,0,0
1020,WENATCHEE AREA (ZONE),WENATCHEE AREA (ZONE),WA,2015-01-15,4:00:00 PM,PST-8,Winter Weather,0,0,0,0
1021,WENATCHEE AREA (ZONE),WENATCHEE AREA (ZONE),WA,2015-01-15,4:00:00 PM,PST-8,Winter Weather,0,0,0,0
1022,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2015-01-15,4:00:00 PM,PST-8,Winter Weather,0,0,0,0
1023,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2015-01-15,4:00:00 PM,PST-8,Winter Weather,0,0,0,0
1024,OKANOGAN VALLEY (ZONE),OKANOGAN VALLEY (ZONE),WA,2015-01-15,4:00:00 PM,PST-8,Winter Weather,0,0,0,0
1025,OKANOGAN VALLEY (ZONE),OKANOGAN VALLEY (ZONE),WA,2015-01-15,4:00:00 PM,PST-8,Winter Weather,0,0,0,0
1026,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2015-01-15,4:00:00 PM,PST-8,Winter Weather,0,0,0,0
1027,WENATCHEE AREA (ZONE),WENATCHEE AREA (ZONE),WA,2015-01-15,4:00:00 PM,PST-8,Winter Weather,0,0,0,0
1028,OKANOGAN VALLEY (ZONE),OKANOGAN VALLEY (ZONE),WA,2015-01-15,6:00:00 PM,PST-8,Winter Weather,0,0,0,0
1029,MOSES LAKE AREA (ZONE),MOSES LAKE AREA (ZONE),WA,2015-01-15,6:00:00 PM,PST-8,Winter Weather,0,0,0,0
1030,OKANOGAN HIGHLANDS (ZONE),OKANOGAN HIGHLANDS (ZONE),WA,2015-01-15,9:00:00 PM,PST-8,Winter Weather,0,0,0,0
1031,UPPER COLUMBIA BASIN (ZO...,UPPER COLUMBIA BASIN (ZO...,WA,2015-01-15,10:00:00 PM,PST-8,Winter Weather,0,0,0,0
1032,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2015-01-17,11:00:00 AM,PST-8,Heavy Snow,0,0,0,0
1033,OKANOGAN HIGHLANDS (ZONE),OKANOGAN HIGHLANDS (ZONE),WA,2015-01-17,11:00:00 AM,PST-8,Heavy Snow,0,0,0,0
1034,OKANOGAN VALLEY (ZONE),OKANOGAN VALLEY (ZONE),WA,2015-01-17,11:00:00 AM,PST-8,Winter Weather,0,0,0,0
1035,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2015-01-17,11:00:00 AM,PST-8,Heavy Snow,0,0,0,0
1036,OKANOGAN VALLEY (ZONE),OKANOGAN VALLEY (ZONE),WA,2015-01-17,11:00:00 AM,PST-8,Heavy Snow,0,0,0,0
