Year,Month,Average Temperature
1925,Jun,43.0564705882353
1925,Mar,30.328823529411768
1925,May,41.458333333333336
1925,Nov,31.683529411764706
1925,Oct,36.3721052631579
1925,Sep,42.745
1926,Apr,42.40105263157895
1926,Aug,46.27588235294118
1926,Dec,26.17055555555556
1926,Feb,32.570499999999996
1926,Jan,27.28421052631579
1926,Jul,47.94777777777777
1926,Jun,48.74944444444444
1926,Mar,35.195
1926,May,41.469
1926,Nov,33.702
1926,Oct,39.102999999999994
1926,Sep,41.164
1927,Apr,36.45055555555555
1927,Aug,48.456315789473685
1927,Dec,20.812631578947368
1927,Feb,28.581052631578945
1927,Jan,23.899444444444445
1927,Jul,51.792631578947365
1927,Jun,45.68473684210526
1927,Mar,30.537368421052633
1927,May,40.35722222222222
1927,Nov,33.12722222222222
1927,Oct,40.316842105263156
1927,Sep,45.560526315789474
1928,Apr,38.124
1928,Aug,56.284705882352945
1928,Dec,26.45263157894737
1928,Feb,31.653499999999998
1928,Jan,26.697647058823527
1928,Jul,51.2252380952381
1928,Jun,50.52578947368421
1928,Mar,38.20055555555555
1928,May,51.374117647058824
1928,Nov,33.60619047619048
1928,Oct,42.0025
1928,Sep,49.089999999999996
1929,Apr,34.94444444444444
1929,Aug,58.30888888888889
1929,Dec,28.018947368421053
1929,Feb,22.096
1929,Jan,17.854117647058818
1929,Jul,51.347500000000004
1929,Jun,44.6425
1929,Mar,33.009047619047614
1929,May,41.346666666666664
1929,Nov,33.846875
1929,Oct,39.79190476190476
1929,Sep,43.0925
1930,Apr,40.65555555555555
1930,Aug,58.54882352941177
1930,Dec,26.73263157894737
1930,Feb,31.805500000000002
1930,Jan,17.635000000000005
1930,Jul,54.58722222222222
1930,Jun,51.398125
1930,Mar,33.080000000000005
1930,May,42.3
1930,Nov,30.161176470588234
1930,Oct,37.804736842105264
1930,Sep,46.310526315789474
1931,Apr,37.94761904761905
1931,Aug,52.651428571428575
1931,Dec,26.18227272727273
1931,Feb,29.488695652173913
1931,Jan,28.105
1931,Jul,56.69190476190476
1931,Jun,48.486000000000004
1931,Mar,33.816818181818185
1931,May,46.95136363636364
1931,Nov,27.972
1931,Oct,40.188
1931,Sep,44.722272727272724
1932,Apr,38.16
1932,Aug,52.36428571428572
1932,Dec,25.432857142857145
1932,Feb,26.203636363636363
1932,Jan,26.165714285714287
1932,Jul,50.84571428571429
1932,Jun,48.37608695652173
1932,Mar,33.270434782608696
1932,May,41.60136363636364
1932,Nov,35.24739130434783
1932,Oct,39.83608695652174
1932,Sep,46.78263157894737
1933,Apr,38.46090909090909
1933,Aug,49.30499999999999
1933,Dec,34.0947619047619
1933,Feb,22.79842105263158
1933,Jan,27.71047619047619
1933,Jul,56.21176470588235
1933,Jun,45.66909090909091
1933,Mar,33.670476190476194
1933,May,40.09521739130435
1933,Nov,33.22869565217391
1933,Oct,42.006190476190476
1933,Sep,45.05666666666667
1934,Apr,42.28409090909091
1934,Aug,49.426
1934,Dec,28.974545454545456
1934,Feb,34.24409090909091
1934,Jan,30.165263157894735
1934,Jul,54.18157894736842
1934,Jun,48.489
1934,Mar,36.46476190476191
1934,May,44.28181818181818
1934,Nov,34.263
1934,Oct,40.22571428571429
1934,Sep,44.95652173913044
1935,Apr,36.8245
1935,Aug,49.528181818181814
1935,Dec,28.291304347826088
1935,Feb,30.634583333333335
1935,Jan,27.13947368421053
1935,Jul,50.794444444444444
1935,Jun,47.997
1935,Mar,30.0
1935,May,42.39421052631579
1935,Nov,28.585652173913047
1935,Oct,37.58
1935,Sep,49.784285714285716
1936,Apr,40.8435
1936,Aug,53.21047619047619
1936,Dec,29.81125
1936,Feb,20.442500000000003
1936,Jan,31.52809523809524
1936,Jul,52.555
1936,Jun,49.29130434782609
1936,Mar,31.675217391304347
1936,May,48.39727272727273
1936,Nov,31.332173913043476
1936,Oct,41.867916666666666
1936,Sep,46.76428571428571
1937,Apr,37.00454545454546
1937,Aug,48.59045454545455
1937,Dec,31.281818181818185
1937,Feb,27.388695652173915
1937,Jan,16.006521739130434
1937,Jul,52.40869565217392
1937,Jun,48.90130434782609
1937,Mar,35.03217391304348
1937,May,43.178695652173914
1937,Nov,36.403333333333336
1937,Oct,42.56666666666667
1937,Sep,47.455652173913045
1938,Apr,39.37347826086957
1938,Aug,51.006666666666675
1938,Dec,29.58
1938,Feb,31.032727272727275
1938,Jan,29.02444444444445
1938,Jul,57.395500000000006
1938,Jun,49.27086956521739
1938,Mar,34.93952380952381
1938,May,43.88625
1938,Nov,32.9245
1938,Oct,44.70666666666667
1938,Sep,50.73666666666667
1939,Apr,41.50727272727273
1939,Aug,55.970000000000006
1939,Dec,33.62857142857143
1939,Feb,28.073478260869567
1939,Jan,30.950000000000003
1939,Jul,57.46476190476191
1939,Jun,48.03090909090909
1939,Mar,35.01954545454545
1939,May,44.89083333333334
1939,Nov,36.26304347826087
1939,Oct,39.23772727272728
1939,Sep,48.78954545454546
1940,Apr,40.13
1940,Aug,59.563
1940,Dec,30.095999999999997
1940,Feb,33.66652173913044
1940,Jan,27.41409090909091
1940,Jul,54.91636363636363
1940,Jun,51.685909090909085
1940,Mar,36.61739130434783
1940,May,45.67260869565217
1940,Nov,28.99409090909091
1940,Oct,42.90958333333333
1940,Sep,49.11913043478261
1941,Apr,42.85181818181818
1941,Aug,54.75208333333333
1941,Dec,32.53363636363636
1941,Feb,33.54227272727273
1941,Jan,29.991904761904763
1941,Jul,57.90708333333333
1941,Jun,49.87045454545455
1941,Mar,39.71
1941,May,46.02956521739131
1941,Nov,35.55
1941,Oct,41.62
1941,Sep,48.902272727272724
1942,Apr,43.45409090909091
1942,Aug,58.532272727272726
1942,Dec,29.282
1942,Feb,30.50909090909091
1942,Jan,25.644090909090906
1942,Jul,55.61478260869565
1942,Jun,49.17541666666667
1942,Mar,34.87173913043478
1942,May,46.66818181818182
1942,Nov,31.857142857142858
1942,Oct,45.13363636363636
1942,Sep,52.35181818181818
1943,Apr,40.97
1943,Aug,51.88904761904762
1943,Dec,28.189565217391305
1943,Feb,31.30181818181818
1943,Jan,21.892857142857142
1943,Jul,51.35782608695652
1943,Jun,48.447391304347825
1943,Mar,31.817083333333333
1943,May,43.04727272727273
1943,Nov,33.3588
1943,Oct,41.486000000000004
1943,Sep,49.260799999999996
1944,Apr,40.77695652173913
1944,Aug,56.154761904761905
1944,Dec,25.64695652173913
1944,Feb,30.61608695652174
1944,Jan,28.605217391304347
1944,Jul,64.07090909090908
1944,Jun,51.23208333333333
1944,Mar,34.01391304347826
1944,May,46.29125
1944,Nov,36.546086956521734
1944,Oct,46.282399999999996
1944,Sep,51.86625
1945,Apr,37.69714285714286
1945,Aug,52.640833333333326
1945,Dec,28.225416666666664
1945,Feb,31.974999999999998
1945,Jan,29.72043478260869
1945,Jul,55.68260869565218
1945,Jun,46.96333333333333
1945,Mar,32.57727272727273
1945,May,45.259166666666665
1945,Nov,30.227999999999998
1945,Oct,40.57739130434783
1945,Sep,44.91130434782609
1946,Apr,39.98045454545454
1946,Aug,49.914090909090916
1946,Dec,28.35826086956522
1946,Feb,29.966521739130435
1946,Jan,28.66909090909091
1946,Jul,51.59173913043479
1946,Jun,47.65428571428571
1946,Mar,34.01391304347826
1946,May,45.05583333333333
1946,Nov,32.801818181818184
1946,Oct,40.16090909090909
1946,Sep,50.34238095238096
1947,Apr,41.96375
1947,Aug,50.88428571428571
1947,Dec,29.575
1947,Feb,31.923199999999998
1947,Jan,23.73217391304348
1947,Jul,54.00913043478261
1947,Jun,50.81
1947,Mar,37.37304347826087
1947,May,49.458400000000005
1947,Nov,33.21807692307692
1947,Oct,41.40833333333333
1947,Sep,47.8372
1948,Apr,37.721304347826084
1948,Aug,52.74714285714286
1948,Dec,25.814285714285713
1948,Feb,27.213043478260865
1948,Jan,26.999583333333334
1948,Jul,52.07884615384615
1948,Jun,54.3544
1948,Mar,32.35095238095238
1948,May,44.27545454545455
1948,Nov,34.43642857142857
1948,Oct,41.2304
1948,Sep,49.023599999999995
1949,Apr,43.10785714285714
1949,Aug,53.72428571428571
1949,Dec,29.704444444444444
1949,Feb,27.27153846153846
1949,Jan,16.904074074074074
1949,Jul,57.61884615384615
1949,Jun,51.62428571428571
1949,Mar,36.595000000000006
1949,May,49.82714285714286
1949,Nov,39.158846153846156
1949,Oct,40.10259259259259
1949,Sep,51.980000000000004
1950,Apr,39.27653846153846
1950,Aug,56.61769230769231
1950,Dec,33.097857142857144
1950,Feb,29.810769230769232
1950,Jan,15.63888888888889
1950,Jul,56.78037037037037
1950,Jun,50.63964285714286
1950,Mar,34.66814814814815
1950,May,45.086666666666666
1950,Nov,33.934999999999995
1950,Oct,42.27814814814815
1950,Sep,49.25962962962963
1951,Apr,40.590714285714284
1951,Aug,54.078620689655175
1951,Dec,25.844827586206897
1951,Feb,30.653448275862072
1951,Jan,28.022758620689658
1951,Jul,55.72344827586207
1951,Jun,50.77928571428571
1951,Mar,31.746896551724138
1951,May,46.09931034482759
1951,Nov,33.61857142857143
1951,Oct,41.500344827586204
1951,Sep,49.80392857142857
1952,Apr,42.70925925925926
1952,Aug,56.88068965517241
1952,Dec,31.197333333333333
1952,Feb,31.740357142857142
1952,Jan,24.84448275862069
1952,Jul,55.599666666666664
1952,Jun,49.655
1952,Mar,35.05555555555556
1952,May,46.66433333333334
1952,Nov,32.39896551724138
1952,Oct,48.745357142857145
1952,Sep,51.681333333333335
1953,Apr,39.973333333333336
1953,Aug,54.68827586206897
1953,Dec,32.78933333333333
1953,Feb,34.24103448275862
1953,Jan,36.793103448275865
1953,Jul,58.56333333333333
1953,Jun,48.09766666666667
1953,Mar,36.205666666666666
1953,May,45.373666666666665
1953,Nov,37.30533333333334
1953,Oct,43.71133333333333
1953,Sep,52.53206896551724
1954,Apr,38.624
1954,Aug,52.26433333333333
1954,Dec,32.24857142857143
1954,Feb,32.44689655172414
1954,Jan,27.09766666666666
