"Year","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Season"
"1991-1992","0.0","0.0","0.0","5.1","11.3","13.0","10.0","2.0","0.0","T","0.0","0.0","41.4"
"1992-1993","0.0","0.0","0.0","0.0","5.7","17.5","14.5","6.0","0.5","0.0","0.0","0.0","44.2"
"1993-1994","0.0","0.0","0.0","0.0","1.6","23.6","9.3","10.2","0.5","0.0","0.0","0.0","M"
"1994-1995","0.0","0.0","0.0","5.4","21.0","16.9","25.4","7.3","5.6","T","0.0","0.0","81.6"
"1995-1996","0.0","0.0","0.0","0.0","29.0","23.8","M","13.1","0.3","0.0","0.0","0.0","M"
"1996-1997","0.0","0.0","M","6.0","M","76.8","16.2","6.9","10.8","0.0","0.0","0.0","M"
"1997-1998","0.0","0.0","0.0","0.1","4.5","9.6","37.0","0.3","5.0","T","0.0","0.0","56.5"
"1998-1999","0.0","0.0","0.0","0.0","6.5","21.1","15.7","20.2","10.2","0.0","M","0.0","M"
"1999-2000","0.0","0.0","0.0","3.0","0.3","12.3","21.2","19.0","T","0.0","0.0","0.0","55.8"
"2000-2001","0.0","0.0","0.0","0.0","7.8","13.6","5.5","8.8","0.2","0.0","0.0","0.0","35.9"
"2001-2002","0.0","0.0","0.0","0.0","9.1","26.7","13.2","10.8","6.8","0.0","0.0","0.0","66.6"
"2002-2003","0.0","0.0","0.0","0.0","0.0","24.1","21.9","0.0","1.8","M","0.0","0.0","M"
"2003-2004","0.0","0.0","0.0","0.0","13.3","24.5","5.9","6.2","3.5","0.0","0.0","0.0","53.4"
"2004-2005","0.0","0.0","0.0","0.0","3.7","18.9","M","0.0","T","0.0","0.0","0.0","M"
"2005-2006","0.0","0.0","0.0","0.0","M","11.2","30.4","9.1","1.0","0.0","0.0","0.0","M"
"2006-2007","0.0","0.0","0.0","0.0","M","39.6","M","7.8","0.0","0.0","0.0","0.0","M"
"2007-2008","0.0","0.0","0.0","0.0","5.0","39.0","26.3","7.3","6.0","0.0","0.0","0.0","83.6"
"2008-2009","0.0","0.0","0.0","0.0","0.5","M","13.6","4.7","2.7","0.7","0.0","0.0","M"
"2009-2010","0.0","0.0","0.0","2.5","0.4","7.2","20.3","3.3","1.5","0.9","T","0.0","36.1"
"2010-2011","0.0","0.0","0.0","0.0","10.6","35.2","11.2","8.6","M","M","M","M","M"
"2011-2012","M","M","M","M","M","6.0","M","M","M","M","M","M","M"
"2012-2013","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2013-2014","0.0","M","M","0.0","0.5","4.7","6.3","41.6","M","M","M","M","M"
"2014-2015","0.0","M","0.0","M","M","M","M","M","M","M","M","M","M"
"2015-2016","M","M","M","M","M","M","31.3","M","M","0.0","0.0","0.0","M"
"2016-2017","M","0.0","M","M","M","M","M","M","M","M","M","M","M"
"2017-2018","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2018-2019","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2019-2020","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2020-2021","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2021-2022","M","M","0.0","0.0","1.4","28.9","33.4","7.6","0.1","0.2","0.0","0.0","M"
