"Year","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Season"
"1997-1998","0.0","0.0","0.0","0.0","0.0","0.0","3.0","T","T","0.0","0.0","0.0","3.0"
"1998-1999","0.0","0.0","0.0","0.0","0.0","2.0","T","9.0","0.5","T","T","0.0","11.5"
"1999-2000","0.0","0.0","0.0","0.0","0.0","0.0","7.3","0.0","0.0","0.0","0.0","0.0","7.3"
"2000-2001","0.0","0.0","0.0","0.0","0.0","T","0.0","3.0","T","T","0.0","0.0","3.0"
"2001-2002","0.0","0.0","0.0","0.0","0.0","1.5","8.0","T","9.5","0.0","0.0","0.0","M"
"2002-2003","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","T","0.0","T"
"2003-2004","0.0","0.0","0.0","0.0","0.0","1.0","8.5","0.0","0.0","0.0","0.0","0.0","9.5"
"2004-2005","0.0","0.0","0.0","0.0","0.0","0.0","8.5","T","0.0","0.0","0.0","0.0","8.5"
"2005-2006","0.0","0.0","0.0","0.0","2.0","0.5","0.0","0.0","1.0","0.0","0.0","0.0","3.5"
"2006-2007","0.0","0.0","0.0","0.0","8.0","0.0","1.5","2.5","1.5","0.0","0.0","0.0","13.5"
"2007-2008","0.0","0.0","0.0","0.0","0.0","4.0","9.0","1.5","1.5","1.5","0.0","0.0","17.5"
"2008-2009","0.0","0.0","0.0","0.0","0.0","18.0","5.0","2.0","2.0","T","M","M","M"
"2009-2010","M","0.0","0.0","0.0","0.0","T","0.0","0.0","0.0","0.0","0.0","0.0","M"
"2010-2011","0.0","0.0","0.0","0.0","5.0","T","M","M","M","M","M","M","M"
"2011-2012","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2012-2013","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2013-2014","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2014-2015","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2015-2016","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2016-2017","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2017-2018","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2018-2019","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2019-2020","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2020-2021","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2021-2022","M","M","M","M","M","M","M","M","M","M","M","M","M"
