"Year","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Season"
"2006-2007","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","M","0.0","0.0","0.0","M"
"2007-2008","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","M"
"2008-2009","0.0","0.0","0.0","0.0","M","M","0.0","0.0","0.0","0.0","M","M","M"
"2009-2010","M","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","M","0.0","0.0","M"
"2010-2011","0.0","0.0","0.0","0.0","0.0","0.0","M","M","M","M","M","M","M"
"2011-2012","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2012-2013","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2013-2014","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2014-2015","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2015-2016","M","M","M","M","M","M","M","M","M","M","M","M","M"
