Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season,County
1986-1987,0,0,0,0,5,7.9,11.7,1.1,T,T,T,0,25.7,Spokane
1987-1988,0,0,0,0,1.5,20.3,9.1,1.2,1.6,T,T,0,33.7,Spokane
1988-1989,0,0,0,0,10.9,16.3,10.5,19,9.4,T,T,0,66.1,Spokane
1989-1990,0,0,0,T,5.2,1.1,10.3,18,2.6,3.5,T,0,40.7,Spokane
1990-1991,0,0,0,0,1.2,14.3,15.9,1.1,9.5,0.2,0,0,42.2,Spokane
1991-1992,0,0,T,0.8,4.9,2.4,9,1.4,0,T,0,0,18.5,Spokane
1992-1993,0,0,0,0,11.1,40.2,18.8,15.1,2.1,T,T,T,87.3,Spokane
1993-1994,0,0,0,T,3.7,6.4,0.9,8.2,0.5,T,0,T,19.7,Spokane
1994-1995,0,0,0,0.8,13.7,6.3,3.9,4.4,0.7,T,0,0,29.8,Spokane
1995-1996,0,0,0,M,M,M,22.7,M,M,0,0,0,M,Spokane
1996-1997,0,0,0,0,18.4,42.7,6.4,6.3,5.9,0.8,0,0,80.5,Spokane
1997-1998,0,0,0,0,M,6.4,8.5,1.6,1.8,T,0,0,M,Spokane
1998-1999,0,0,0,T,0.8,11.2,8.7,14.7,3.8,2.7,0.6,0,42.5,Spokane
1999-2000,0,0,0,0,2.1,9.7,21.3,6.7,1.1,T,0.3,0,41.2,Spokane
2000-2001,0,0,0,T,10.9,15.1,9.6,8.3,2.2,2.5,0,0,48.6,Spokane
2001-2002,0,0,0,0.7,12.5,21.9,9.6,6.7,11.7,T,0.9,0,64,Spokane
2002-2003,0,0,0,T,0,11.3,6.8,0.4,2,0.7,T,T,21.2,Spokane
2003-2004,0,0,0,0,15.4,7.2,20.3,8.7,2.7,T,0.4,0,54.7,Spokane
2004-2005,0,0,0,T,1.5,6.5,14.9,T,2.9,T,T,0,25.8,Spokane
2005-2006,0,0,0,0,7.4,4.4,9.4,3.8,4.1,T,0,0,29.1,Spokane
